2455819.58073 19.196 0.069 4.69 569.0
2455820.55879 19.141 0.069 4.88 500.0
2455822.52844 19.128 0.080 6.46 400.0
2455822.61690 19.177 0.070 5.14 432.0
2455823.54832 19.295 0.103 6.50 478.0
2455823.63235 18.905 0.080 7.29 531.0
2455824.56991 19.015 0.059 5.04 419.0
2455825.49071 19.163 0.086 5.78 532.0
2455825.58656 19.023 0.063 5.31 519.0
2455826.50974 19.263 0.094 6.34 463.0
2455826.59793 19.008 0.078 6.58 542.0
2455827.53580 19.118 0.089 5.96 578.0
2455827.61621 19.206 0.090 6.63 538.0
2455828.54917 19.150 0.059 4.23 416.0
2455828.62156 19.011 0.063 5.52 543.0
2455829.55996 19.042 0.058 4.92 494.0
2455830.48589 19.053 0.053 4.27 483.0
2455830.57288 19.116 0.064 5.79 454.0
