\STAR_ID                              = "OGLE 2011-BLG-265L
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h57m47.72s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-27d23m40.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "3169"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2455376.629140"
\MAXIMUM_DATE                         = "2456219.552660"
\DATE_UNITS                           = "days"
\MINIMUM_VALUE                        = "15.1040"
\MAXIMUM_VALUE                        = "17.3621"
\VALUE_UNITS                          = "mag"
\REFERENCES                           = "Skowron et al. 2015"
\BIBCODES                             = "2014arXiv1410.8252S"
\TELESCOPE                            = "Warsaw University Telescope (1.3 m)"
\INSTRUMENT                           = "32-CCD mosaic camera"
\TIME_SERIES_DATA_FILTER              = "I"
\OBSERVATORY_SITE                     = "Las Campanas Observatory, Chile"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COLUMN_RELATIVE_MAGNITUDE            = "Relative or Instrument Magnitude"
\COLUMN_MAGNITUDE_UNCERTAINTY         = "Magnitude Uncertainty"
|             HJD | RELATIVE_MAGNITUDE |  MAGNITUDE_UNCERTAINTY |
|            real |               real |                   real |
|            days |                mag |                    mag |
   2455434.516140              17.2987                   0.0232
   2455434.529890              17.3213                   0.0232
   2455434.548250              17.3019                   0.0219
   2455434.560990              17.2705                   0.0205
   2455434.574220              17.3282                   0.0219
   2455434.586640              17.3108                   0.0219
   2455434.599300              17.2771                   0.0219
   2455434.616600              17.3094                   0.0205
   2455434.633870              17.3069                   0.0219
   2455434.646430              17.2662                   0.0205
   2455434.661360              17.2970                   0.0232
   2455434.676290              17.3163                   0.0246
   2455434.688800              17.2791                   0.0219
   2455434.701430              17.2943                   0.0232
   2455435.475270              17.3106                   0.0275
   2455435.488170              17.3280                   0.0246
   2455435.500870              17.3240                   0.0246
   2455435.514210              17.3206                   0.0232
   2455435.531120              17.2932                   0.0219
   2455435.543670              17.2551                   0.0219
   2455435.560330              17.3199                   0.0246
   2455435.597810              17.2850                   0.0205
   2455435.613580              17.2958                   0.0205
   2455435.631190              17.3247                   0.0232
   2455435.651360              17.2730                   0.0191
   2455435.667060              17.3020                   0.0191
   2455435.679450              17.3044                   0.0205
   2455435.692010              17.3043                   0.0205
   2455435.706000              17.2991                   0.0205
   2455436.473150              17.2706                   0.0303
   2455436.485930              17.2953                   0.0219
   2455436.499330              17.2868                   0.0219
   2455436.540220              17.3113                   0.0232
   2455436.584790              17.3095                   0.0219
   2455436.643280              17.2962                   0.0205
   2455436.657330              17.3040                   0.0205
   2455436.699070              17.2856                   0.0219
   2455437.481940              17.2721                   0.0191
   2455437.495250              17.2933                   0.0191
   2455437.540350              17.2921                   0.0178
   2455437.576230              17.2930                   0.0205
   2455437.619340              17.2888                   0.0191
   2455437.671370              17.3174                   0.0191
   2455438.508170              17.2945                   0.0246
   2455438.521240              17.3043                   0.0232
   2455438.533960              17.3160                   0.0232
   2455438.570500              17.3086                   0.0232
   2455438.586540              17.2846                   0.0219
   2455438.635410              17.2869                   0.0191
   2455438.648280              17.2885                   0.0205
   2455438.660970              17.2700                   0.0191
   2455438.673410              17.3221                   0.0191
   2455438.686010              17.3296                   0.0205
   2455438.698590              17.3103                   0.0191
   2455439.535380              17.2929                   0.0232
   2455439.564350              17.3332                   0.0260
   2455439.576810              17.2858                   0.0232
   2455439.589270              17.2982                   0.0232
   2455439.614590              17.2906                   0.0232
   2455439.639890              17.2926                   0.0246
   2455439.652590              17.3357                   0.0232
   2455439.673080              17.3090                   0.0260
   2455439.685650              17.3228                   0.0260
   2455443.492940              17.2745                   0.0219
   2455444.500570              17.2810                   0.0219
   2455444.516040              17.2793                   0.0232
   2455444.552070              17.3066                   0.0205
   2455444.564690              17.3188                   0.0219
   2455444.586970              17.2942                   0.0191
