\STAR_ID                              = "MOA-bin-001L"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "17h51m10.20s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-29d47m38.3s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "7232"
\TIME_REFERENCE_FRAME                 = "Heliocentric JD"
\MINIMUM_DATE                         = "2453824.091490"
\MAXIMUM_DATE                         = "2454413.892660"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Bennett et al. 2012"
\BIBCODES                             = "2012ApJ...757..119B"
\TELESCOPE                            = "MOA-II Telescope (1.8 m)"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "I+R"
\OBSERVATORY_SITE                     = "Mt. John Observatory, NZ"
\COLUMN_JD                            = "Heliocentric Julian Day"
\COMMENT                              = "none"
|            HJD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY| RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           real|               real|                  real|          real|             real|
|           days|                mag|                   mag|              |                 |
  2453873.959100             11.5504                 0.1405
  2453873.966250             11.4808                 0.0514
  2453873.973410             11.5472                 0.0679
  2453873.981290             11.5613                 0.0611
  2453873.988440             11.5023                 0.0806
  2453873.995600             11.4854                 0.0463
  2453874.002750             11.5834                 0.0476
  2453874.009900             11.5134                 0.0533
  2453874.017120             11.4728                 0.0450
  2453874.024280             11.4144                 0.0436
  2453874.031430             11.5092                 0.0511
  2453874.038580             11.4888                 0.0384
  2453874.045730             11.4854                 0.0336
  2453874.052980             11.5211                 0.0351
  2453874.060130             11.4837                 0.0335
  2453874.067280             11.5274                 0.0343
  2453874.074420             11.4721                 0.0340
  2453874.081580             11.5377                 0.0347
  2453874.088990             11.5286                 0.0337
  2453874.098800             11.5582                 0.0341
  2453874.105960             11.5630                 0.0350
  2453874.113110             11.5329                 0.0340
  2453874.120260             11.4953                 0.0358
  2453874.127700             11.5388                 0.0386
  2453874.134850             11.5507                 0.0393
  2453874.142000             11.4543                 0.0353
  2453874.149150             11.4740                 0.0365
  2453874.157550             11.4158                 0.0438
  2453874.165240             11.5096                 0.0393
  2453874.175350             11.4460                 0.0394
  2453874.182510             11.4291                 0.0617
  2453874.189660             11.5077                 0.0631
  2453874.196820             11.4370                 0.0623
  2453874.204760             11.4517                 0.0768
  2453874.211900             11.4458                 0.0673
  2453874.219050             11.3922                 0.0550
  2453874.226190             11.5284                 0.0557
  2453874.233340             11.5566                 0.0555
  2453874.245160             11.5953                 0.0692
  2453874.252310             11.5554                 0.0698
  2453874.259460             11.5527                 0.0674
  2453874.266600             11.5742                 0.0830
  2453874.273750             11.7699                 0.2013
