131521 1562.72 1585.55 17.142  1.123 16.019  90   0 0.009 6128  11 0.017
131522 1462.40 1589.90 18.161  1.990 16.172  90   0 0.017 6127  12 0.010
131533 1455.67 1611.30 17.677  1.293 16.384  90   0 0.013 6122  16 0.011
131535 1501.42 1616.40 17.769  1.174 16.595  90   0 0.012 6129  10 0.014
131537 1545.85 1617.63 18.019  1.193 16.826  89   1 0.014 6128  10 0.016
131541 1568.90 1627.66 17.943  1.644 16.299  90   0 0.015 6122  17 0.011
131542 1617.58 1631.18 18.809  1.754 17.055  89   1 0.028 6119  13 0.026
131543 1611.11 1633.59 17.709  1.467 16.242  90   0 0.038 6136   1 0.045
131544 1529.81 1641.88 17.922  1.582 16.339  90   0 0.014 6126  13 0.011
131548 1540.02 1644.84 18.541  1.711 16.830  89   0 0.023 6126  11 0.016
131550 1556.18 1645.94 18.078  1.238 16.840  90   0 0.020 6132   6 0.015
131552 1448.67 1651.58 18.028  1.819 16.209  90   0 0.017 6130   9 0.011
131553 1527.92 1651.81 18.467  1.920 16.547  89   0 0.020 6122  17 0.012
131559 1477.04 1664.76 18.182  1.430 16.752  90   0 0.021 6123  15 0.021
131563 1451.12 1673.29 18.781  1.903 16.878  90   0 0.036 6132   7 0.021
131564 1503.51 1677.24 18.011  1.095 16.916  90   0 0.018 6131   7 0.018
131565 1532.96 1678.74 18.630  1.749 16.881  90   0 0.035 6132   6 0.017
131570 1643.86 1277.61 20.030  2.052 17.978  89   1 0.138 6125  10 0.076
131577 1627.59 1283.11 18.547  1.705 16.842  90   0 0.025 6130   7 0.020
131579 1497.34 1329.95 19.360  1.185 18.175  89   1 0.053 6121   9 0.053
131580 1424.15 1332.50 19.505  1.874 17.631  90   0 0.057 6131   8 0.036
131581 1440.60 1363.53 99.999  9.999 18.662   0   0 9.999 6123  14 0.095
131583 1623.73 1384.01 18.468  1.444 17.024  90   0 0.026 6125  12 0.021
131588 1647.78 1486.44 19.897  1.869 18.027  90   0 0.104 6120  10 0.055
131590 1623.95 1539.34 19.547  1.495 18.053  89   0 0.054 6124   7 0.052
131591 1434.95 1546.63 17.315  0.340 16.975  90   0 0.010 6128  11 0.025
131593 1503.30 1618.93 19.043  1.075 17.968  90   0 0.043 6132   4 0.050
131596 1506.11 1678.76 19.430  1.856 17.574  90   0 0.060 6125  11 0.032
131709 1518.97 1234.68 19.478  1.615 17.862  90   0 0.062 6132   5 0.046
131710 1445.94 1234.23 19.437  1.838 17.598  89   0 0.057 6126   6 0.036
131714 1608.77 1237.72 19.275  1.671 17.604  89   1 0.055 6128   8 0.040
131715 1613.75 1239.76 19.006  1.486 17.519  90   0 0.047 6122  14 0.037
131717 1481.93 1240.55 18.780  1.520 17.259  90   0 0.032 6128   9 0.027
131718 1442.12 1247.37 18.913  1.343 17.570  90   0 0.056 6129   9 0.052
131720 1434.32 1248.55 18.640  1.261 17.378  90   0 0.059 6137   2 0.086
131721 1456.72 1247.37 18.769  1.354 17.415  89   0 0.039 6130   4 0.038
131722 1635.31 1246.72 19.290  1.681 17.609  90   0 0.050 6123   8 0.032
131724 1535.52 1247.84 18.999  1.392 17.607  90   0 0.036 6128   6 0.030
131727 1423.82 1252.67 18.708  1.226 17.482  90   0 0.033 6134   5 0.036
131730 1590.51 1256.19 18.814  1.864 16.950  89   0 0.034 6122  10 0.017
131731 1443.61 1255.84 18.930  1.517 17.413  90   0 0.039 6122  10 0.030
131734 1451.71 1262.55 18.780  1.258 17.522  90   0 0.032 6124   9 0.029
131737 1560.88 1269.42 18.567  1.609 16.958  90   0 0.025 6126  11 0.018
131738 1557.97 1265.99 18.966  1.426 17.540  89   0 0.035 6125  10 0.030
131741 1636.98 1268.08 18.578  1.165 17.413  90   0 0.027 6121  10 0.029
131742 1645.52 1269.60 18.971  1.716 17.254  90   0 0.039 6122  11 0.030
131743 1505.38 1271.52 18.448  1.510 16.937  90   0 0.025 6120  13 0.017
131748 1563.65 1275.09 18.550  1.370 17.180  90   0 0.025 6127  10 0.021
131750 1438.89 1276.28 18.918  1.659 17.259  90   0 0.028 6128   7 0.023
131752 1589.79 1275.76 19.171  1.580 17.591  89   0 0.049 6126   6 0.029
131754 1433.73 1278.93 19.072  1.303 17.769  90   0 0.036 6122  14 0.037
131758 1437.77 1284.07 99.999  9.999 17.664   0   0 9.999 6126   7 0.032
131759 1517.56 1284.53 19.007  1.626 17.381  89   1 0.031 6121   9 0.024
131760 1608.19 1284.28 19.644  2.419 17.225  90   0 0.075 6126  11 0.030
