142094 2118.59 2334.22 18.711  1.804 16.907  21   0 0.022  398   2 0.016
142095 1820.63 2342.69 18.286  1.680 16.606  22   0 0.190  417   0 0.105
142096 1982.53 2342.97 18.687  2.425 16.261  21   0 0.018  416   0 0.009
142097 1777.07 2347.82 19.094  2.561 16.533  20   0 0.030  416   1 0.011
142098 2091.12 2352.66 18.878  2.513 16.365  21   0 0.022  409   0 0.012
142099 1965.44 2362.24 19.114  2.649 16.466  21   0 0.039  415   1 0.014
142100 2102.15 2365.22 19.344  2.519 16.825  21   0 0.046  407   0 0.021
142102 2102.19 2370.56 19.381  2.539 16.842  21   0 0.044  407   0 0.016
142103 2173.35 2371.62 18.811  2.504 16.308  20   0 0.023  369   0 0.010
142105 2061.10 2378.66 19.492  2.665 16.827  19   1 0.021  411   1 0.015
142106 2011.70 2379.50 18.960  1.868 17.092  20   0 0.026  415   0 0.019
142108 2150.36 2383.93 19.018  2.564 16.454  20   0 0.028  389   1 0.012
142109 2191.86 2384.67 19.587  2.636 16.951  18   0 0.044  339   1 0.021
142110 1767.18 2394.70 19.195  2.127 17.069  20   0 0.032  417   0 0.016
142111 1893.29 2396.58 19.304  2.369 16.935  20   0 0.030  416   1 0.015
142112 2194.05 2399.02 18.684  1.856 16.827  19   0 0.028  338   0 0.020
142113 1813.48 2400.40 19.121  2.588 16.533  19   1 0.023  415   2 0.010
142114 1804.40 2406.53 19.456  2.578 16.878  19   1 0.034  415   2 0.014
142115 1881.37 2409.22 18.896  2.452 16.444  20   1 0.028  417   0 0.012
142116 1917.62 2407.79 19.354  2.364 16.990  21   0 0.038  417   0 0.018
142118 2052.65 2410.81 18.928  1.852 17.077  21   0 0.020  413   0 0.016
142119 2078.37 2415.88 18.858  2.364 16.494  21   0 0.025  409   0 0.011
142120 1792.38 2426.08 19.071  2.643 16.429  21   0 0.030  417   0 0.011
142121 2052.43 2434.46 18.038  1.776 16.262  21   1 0.009  411   2 0.009
142123 1908.47 2447.44 19.279  2.550 16.729  20   0 0.027  415   2 0.012
142125 2103.34 2450.10 18.977  1.965 17.012  21   0 0.019  407   0 0.017
142128 2132.33 2458.10 19.261  2.099 17.162  21   0 0.025  395   2 0.020
142129 2108.96 2465.72 19.508  2.713 16.795  20   0 0.036  405   0 0.014
142130 1816.74 2468.87 18.986  2.594 16.392  20   0 0.027  415   2 0.010
142131 1837.28 2476.80 18.709  2.004 16.705  21   0 0.022  416   1 0.013
142132 2040.38 2477.73 18.891  2.559 16.332  21   0 0.015  413   1 0.009
142133 2177.10 2480.85 18.860  2.383 16.477  20   0 0.032  364   1 0.013
142134 2198.18 2488.57 18.626  2.373 16.253  18   0 0.026  329   0 0.016
142135 1834.73 2489.00 19.080  2.373 16.707  21   0 0.028  417   0 0.014
142137 2053.11 2493.11 19.160  2.335 16.825  21   0 0.035  413   0 0.015
142138 1903.34 2497.93 18.565  1.787 16.778  21   0 0.021  417   0 0.014
142139 1816.30 2499.21 18.598  1.753 16.845  21   0 0.019  417   0 0.014
142140 2098.68 2499.17 19.413  2.450 16.963  20   0 0.037  406   1 0.017
142141 1844.65 2501.75 18.980  2.373 16.606  21   0 0.034  416   1 0.028
142142 2061.28 2501.46 18.780  1.946 16.835  21   0 0.022  412   0 0.014
142143 1969.12 2503.29 19.156  2.515 16.641  21   0 0.023  415   1 0.014
142144 1832.76 2505.83 18.718  2.444 16.274  21   0 0.019  416   1 0.010
142145 2121.25 2513.17 18.917  2.459 16.458  21   0 0.019  399   1 0.011
142146 1896.82 2518.71 18.995  2.337 16.659  20   0 0.025  417   0 0.012
142147 2143.02 2523.38 17.887  1.649 16.238  22   0 0.063  395   0 0.038
